total,ID
1.0000000000000002,NaEX_Neuron
0.9814617221041976,DM_pheme(c)_Neuron
0.9814459617323242,DM_pheme(c)
0.945227732153085,GLCt1r
0.9327452401202376,Kt1r_Neuron
0.8976463810166139,DM_7dhf
0.8976463810166139,DM_thf(c)
0.8944516349892881,DM_10fthf7glu_Neuron
0.8939939869465993,sink_dhf(c)_Neuron
0.8917709532359083,DM_7thf_Neuron
0.8873408209388892,H2Otm_Neuron
0.8826984114934228,GLGNS1
0.866475314959735,DM_6dhf
0.8633720283068888,DM_10fthf6glu_Neuron
0.860151950077783,DM_6thf_Neuron
0.8581238802303921,ATPS4m_Neuron
0.8581238802303921,ATPtm_Neuron
0.858123880230392,PIt2m_Neuron
0.8435695736090508,GLCt1r_Neuron
0.8253601184133872,DM_10fthf5glu_Neuron
0.8213289154971173,DM_5thf_Neuron
0.8142410713786293,NaKt_Neuron
0.7526691981257754,DM_atp(c)_Neuron
0.7396261700628295,sink_tyr-L(m)
0.71772297091666315,GLCt2r
0.71772297091666315,GLCt2r_Int
0.71328704231304485,CYOR-u10m_Neuron
0.7123613683567176,EX_crn(e)
0.7098445200998579,DM_5thf
0.708336244735217,3DPHBH2
0.70729558371078,3DPHBH1
0.6981407960164098,DM_10fthf5glu
0.6963535691975361,EX_leu-L(e)
0.6821317968990064,NADH2-u10m_Neuron
0.6791874359907907,EX_ile-L(e)
0.6462000496953882,EX_bhb(e)
0.6395257899722554,EX_val-L(e)
0.6305919084457943,EX_acac(e)
0.6265040045668269,AACOAT_Neuron
0.6247002506112946,EX_pro-L(e)
0.6228772908105258,EX_lys-L(e)
0.6110154674983029,EX_etoh(e)
0.6084681687916371,EX_NACASPt_Int
0.6005522911693192,sink_4hpro-LT(m)_Neuron
0.594895386299718,EX_h2o(e)
0.5948953862997176,O2t_Int
0.5948953862997173,CYOOm2_Neuron
0.5948953862997173,O2t_Neuron
0.5948953862997173,O2tm_Neuron
0.594895386299717,EX_o2(e)
0.594895386299717,O2t
0.5948953862997168,CO2t
0.5948953862997168,CO2t_Int
0.5948953862997168,CO2t_Neuron
0.5948953862997168,CO2tm_Neuron
0.5948953862997168,EX_co2(e)
0.59382363189706,sink_4hpro-LT(m)
0.5927344046472,EX_lac-L(e)
0.5914578653246297,DM_10fthf6glu
0.5914578653246297,DM_6thf
0.5879223687504413,GLUVESSEC
0.5878126418006673,DM_6dhf_Neuron
0.5867312899602047,EX_ppa(e)
0.5764691026112128,EX_3aib(e)
0.5735118844228787,EX_4abut(e)
0.5735118844228786,GLUt6
0.5710311749817156,EX_acald(e)
0.557298301938828,EX_orn(e)
0.5476039258877619,EX_pyr(e)
0.525771967612382,MDHm_Neuron
0.5187903070258014,EX_ac(e)
0.5035992905001541,C160CPT2_Neuron
0.5035992905001541,C204CPT2_Neuron
0.5035992905001541,C226CPT2_Neuron
0.49186567223944955,CYSGLUexR
0.49186567223944955,SERGLNexR
0.4877863136962159,GLNtN1
0.47994003517726846,DM_1a2425thvitd2_Neuron
0.47994003517726846,DM_1a2425thvitd3_Neuron
0.47567183422225523,EX_cys-L(e)
0.4744738909210171,sink_dmgly
0.4721204431420494,EX_ala-B(e)
0.4569737160686775,sink_dmgly_Neuron
0.45697371606867704,GLYCLTDym_Neuron
0.444801894356584,EX_nh4(e)
0.43212301374922046,ETOHMO_Neuron
0.4287387231595196,EX_sarcs(e)
0.4127056666134207,GND
0.4083399935410399,AKGMALtm_Neuron
0.4083399935410398,HMGCOASim_Neuron
0.40833999354103967,CSm_Neuron
0.4083399935410396,FUMm_Neuron
0.4083399935410396,ICDHyrm_Neuron
0.4083399935410396,PYRt2m_Neuron
0.4083399935410396,SUCD1m_Neuron
0.40833999354103956,ACONTm_Neuron
0.40833999354103956,AKGDm_Neuron
0.40833999354103956,ETF_Neuron
0.40833999354103956,ETFQO_Neuron
0.40833999354103956,HMGLm_Neuron
0.40833999354103956,OCOAT1m_Neuron
0.40833999354103956,PDHm_Neuron
0.4083399935410395,THD1m_Neuron
0.40833999354103784,MDH_Neuron
0.40833999354103717,ASPGLUm_Neuron
0.408339993541037,ASPTA_Neuron
0.408339993541037,ASPTAm_Neuron
0.39035911036230614,"24,25VITD2Hm"
0.39035911036230614,"24,25VITD3Hm"
0.39035911036230614,25VITD2Hm
0.39035911036230614,25VITD3Hm
0.3815111982957977,ALR
0.37166381573125856,ACSm_Neuron
0.36645008372959603,EX_ser-L(e)
0.36493086035184585,COQ3m_Neuron
0.3461492786152285,ETOHMO
0.3461492786152284,ALCD2yf
0.3461492786152284,ALDD2y
0.33698693032714594,PYK
0.3369869303271447,GAPD
0.3369869303271446,PGK
0.33698693032714416,ENO
0.3369869303271441,PGM
0.33698693032714006,LDH_L_Neuron
0.33698693032714,L-LACt2r_Int
0.33698693032714,L-LACt2r_Neuron
0.33698693032714,LDH_L
0.32708682277580464,COQ7m
0.31753593914627465,DGNSKm
0.3085852034991958,MMSAD1m
0.30007410073172475,ACOAD8m_Neuron
0.2968668141841054,P45011A1m_Neuron
0.29686681418410504,GTHOm_Neuron
0.296866814184104,NMNATm_Neuron
0.293960172233656,EX_glc(e)
0.28164175271335695,GLYOXm
0.28164175271335673,DM_nadph(c)_Neuron
0.28164175271335673,GLYOXm_Neuron
0.2816417527133566,EX_lac-D(e)
0.2730459438691784,CYSO
0.2613192597124655,PPAt_Neuron
0.25516432380249776,H2Ot
